ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnVR,lnVR_var,lnCVR,lnCVR_var
es155,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex002,NA,out002,NA,Rattus norvegicus,Rat,Sprague Dawley,Female,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,Yes,NA,Induced,Fear conditioning,"fear conditioning after the first behavioural assays, before second round of behavioural assays",Young adult,NA,0.01,20 min,None,NA,Before,NA,T2,AFTER SHOCK,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Time in open arms,percentage,%,Not reported,1,Text,NA,contro.after_,music.after,contro.after_music.after,Yes,NA,6,6,1.51,0.12,0.2939387691339813,NA,8.78,3.35,8.205790638323647,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.892781286716449,0.0403038142217856,NA,NA,NA,NA
es156,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex001,NA,out003,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,Not reported,1,Text,NA,control.prior_,music.prior,control.prior_music.prior,Yes,NA,9,9,18.51,5.65,16.950000000000003,NA,15.66,3.44,10.32,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,0.08904503031660843,0.040279537868095086,NA,NA,NA,NA
es157,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex001,NA,out004,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,Yes,NA,Induced,Fear conditioning,"fear conditioning after the first behavioural assays, before second round of behavioural assays",Young adult,NA,0.01,20 min,None,NA,Before,NA,T2,AFTER SHOCK,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,Not reported,1,Text,NA,contro.after_,music.after,contro.after_music.after,Yes,NA,9,9,15.42,4.76,14.28,NA,21.33,6.31,18.93,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.1736451847056954,0.05240792554552533,NA,NA,NA,NA
es158,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex002,NA,out003,NA,Rattus norvegicus,Rat,Sprague Dawley,Female,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,Not reported,1,Text,NA,control.prior_,music.prior,control.prior_music.prior,Yes,NA,6,6,15.13,2.64,6.46665292094759,NA,17.91,4.34,10.630785483678991,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.08962442131565354,0.02527455014573527,NA,NA,NA,NA
es159,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex002,NA,out004,NA,Rattus norvegicus,Rat,Sprague Dawley,Female,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,Yes,NA,Induced,Fear conditioning,"fear conditioning after the first behavioural assays, before second round of behavioural assays",Young adult,NA,0.01,20 min,None,NA,Before,NA,T2,AFTER SHOCK,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,Not reported,1,Text,NA,contro.after_,music.after,contro.after_music.after,Yes,NA,6,6,10.44,1.04,2.5474693324945052,NA,29.44,8.87,21.726974018486786,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.5556810768423932,0.03145906854481211,NA,NA,NA,NA
es160,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex001,NA,out005,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,Not reported,1,Text,NA,control.prior_,music.prior,control.prior_music.prior,Yes,NA,9,9,6.22,3.13,9.39,NA,6.26,3.47,10.41,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.003275022981759652,0.1463012153218341,NA,NA,NA,NA
es161,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex001,NA,out006,NA,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,Yes,NA,Induced,Fear conditioning,"fear conditioning after the first behavioural assays, before second round of behavioural assays",Young adult,NA,0.01,20 min,None,NA,Before,NA,T2,AFTER SHOCK,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,Not reported,1,Text,NA,contro.after_,music.after,contro.after_music.after,Yes,NA,9,9,4.36,2.22,6.66,NA,6.95,2.46,7.38,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.23763945514929466,0.0996454213231382,NA,NA,NA,NA
es162,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex002,NA,out005,NA,Rattus norvegicus,Rat,Sprague Dawley,Female,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,T1,NA,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,Not reported,1,Text,NA,control.prior_,music.prior,control.prior_music.prior,Yes,NA,6,6,5.39,1.93,4.727515203571533,NA,5.69,2.58,6.319683536380599,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.02760372297939348,0.0867185816357836,NA,NA,NA,NA
es163,Regular music exposure in juvenile rats facilitates conditioned fear extinction and reduces anxiety after foot shock in adulthood,10.1155/2019/8740674,BioMed Research International,Chen_2019_BIOMEDRI,2019,ex002,NA,out006,NA,Rattus norvegicus,Rat,Sprague Dawley,Female,Mixed,PND 14  to 35; juvenile to adolescent,Young adult,PND 60,Factorial,also repeated measures,Independent,Yes,NA,Induced,Fear conditioning,"fear conditioning after the first behavioural assays, before second round of behavioural assays",Young adult,NA,0.01,20 min,None,NA,Before,NA,T2,AFTER SHOCK,2,NA,21,NA,Short,dark phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,Not reported,1,Text,NA,contro.after_,music.after,contro.after_music.after,Yes,NA,6,6,3.4,1.1,2.694438717061496,NA,8.03,2.25,5.5113519212621505,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,7,Chen_2019_BIOMEDRI_Ex-ID,-0.4377616799820901,0.04754054899504753,NA,NA,NA,NA
es164,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),from 6 days: total sucrose intake/total liquid intake,Consumption,percentage,%,light phase,2,Figure 1,Ren_2024_fig_1,WT_,HH,WT_HH,Yes,NA,10,10,56.583,4.818,15.236,NA,54.118,2.017,6.378,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Ren_2024_ASEAN_Ex-ID,0.029554388603196022,0.0038581197507689367,NA,NA,NA,NA
es165,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),from 6 days: total sucrose intake/total liquid intake,Consumption,percentage,%,light phase,2,Figure 1,Ren_2024_fig_1,WT_,HM,WT_HM,Yes,NA,10,10,56.583,4.818,15.236,NA,25.21,3.922,12.401,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,3,Ren_2024_ASEAN_Ex-ID,0.4815656170371234,0.010628130978399283,NA,NA,NA,NA
es166,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,Not reported,1,Figure 2,Ren_2024_fig_2,WT_,HH,WT_HH,No,NA,10,10,160.174,18.261,57.746,NA,107.478,8.348,26.398,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.39897454887304545,0.019030075647962722,-0.7827658332270097,0.1111111111111111,-0.38379128435396415,0.13014118675907382
es167,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,Not reported,1,Figure 2,Ren_2024_fig_2,WT_,HM,WT_HM,No,NA,10,10,160.174,18.261,57.746,NA,78.783,13.565,42.897,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.7095634867852083,0.04264504852461484,-0.2972521895149527,0.1111111111111111,0.4123112972702556,0.15375615963572595
es168,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Forced Swim Test (FST),NA,Motion,time,s,Not reported,1,Figure 3,Ren_2024_fig_3,WT_,HH,WT_HH,Yes,NA,10,10,128.593,12.444,39.353,NA,115.852,17.778,56.218,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,0.10433886354122433,0.03291272644641516,0.35666477947775366,0.1111111111111111,0.461003643018978,0.1440238375575263
es169,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Forced Swim Test (FST),NA,Motion,time,s,Not reported,1,Figure 3,Ren_2024_fig_3,WT_,HM,WT_HM,Yes,NA,10,10,128.593,12.444,39.353,NA,117.63,10.667,33.731,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,0.08910827300130796,0.01758813334617649,-0.15415491500677703,0.1111111111111111,-0.06504664200546914,0.1286992444572876
es170,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Nest building,NA,Performance,index,N/A,Not reported,1,Figure 4,Ren_2024_fig_4,WT_,HH,WT_HH,Yes,NA,10,10,1.71,0.588,1.858,NA,1.21,0.482,1.524,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,0.3458730109059187,0.2766940926198713,-0.19816218312719225,0.1111111111111111,0.14771082777872666,0.3878052037309825
es171,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Depression,Nest building,NA,Performance,index,N/A,Not reported,1,Figure 4,Ren_2024_fig_4,WT_,HM,WT_HM,Yes,NA,10,10,1.71,0.588,1.858,NA,2.098,0.364,1.152,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.20449113945953692,0.14820949004016765,-0.47800107811794745,0.1111111111111111,-0.6824922175774842,0.25932060115127875
es172,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,ou00t5,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in open arms,time,s,Not reported,1,Figure 5,Ren_2024_fig_5a,WT_,HH,WT_HH,Yes,NA,10,10,2.741,1.566,4.952,NA,11.354,3.393,10.73,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-1.4212472874278856,0.4157051011682108,0.7732520212603121,0.1111111111111111,-0.6479952661675735,0.5268162122793218
es173,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out005,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in open arms,time,s,Not reported,1,Figure 5,Ren_2024_fig_5a,WT_,HM,WT_HM,Yes,NA,10,10,2.741,1.566,4.952,NA,29.755,7.178,22.698,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-2.3846743677761664,0.38458570411512677,1.5224852794966521,0.1111111111111111,-0.8621890882795143,0.4956968152262379
es174,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out006,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Distance open arm,distance,mm,Not reported,1,Figure 5,Ren_2024_fig_5b,WT_,HH,WT_HH,Yes,NA,10,10,18.237,0,0.05,NA,194.529,69.909,221.071,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-2.3671287547665365,0.12915088029131278,8.394216190444887,0.1111111111111111,6.027087435678351,0.24026199140242388
es175,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out006,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Distance open arm,distance,mm,Not reported,1,Figure 5,Ren_2024_fig_5b,WT_,HM,WT_HM,Yes,NA,10,10,18.237,0,0.05,NA,489.362,151.976,480.589,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-3.289650004462,0.09644740615898587,9.170744708537828,0.1111111111111111,5.881094704075828,0.20755851727009697
es176,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out007,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Time in center,time,s,Not reported,1,Figure 6,Ren_2024_fig_6a,WT_,HH,WT_HH,Yes,NA,10,10,34.112,4.05,12.807,NA,39.875,4.829,15.27,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.15610033256162917,0.028760317085027666,0.17589822278660636,0.1111111111111111,0.01979789022497716,0.13987142819613876
es177,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out007,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Time in center,time,s,Not reported,1,Figure 6,Ren_2024_fig_6a,WT_,HM,WT_HM,Yes,NA,10,10,34.112,4.05,12.807,NA,49.688,7.165,22.658,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.3761142267136225,0.03488959817896502,0.5705210940073622,0.1111111111111111,0.1944068672937397,0.1460007092900761
es178,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,NA,out008,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,hip hop,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,mm,Not reported,1,Figure 6,Ren_2024_fig_6b,WT_,HH,WT_HH,Yes,NA,10,10,3855.422,406.627,1285.866,NA,3900.602,451.807,1428.74,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.011650430950667937,0.024540277175178274,0.10536051565782636,0.1111111111111111,0.09371008470715839,0.1356513882862894
es179,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,NA,out008,NA,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,7,NA,Acute,light phase,heavy metal,NA,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Open Field Test,NA,Motion,distance,mm,Not reported,1,Figure 6,Ren_2024_fig_6b,WT_,HM,WT_HM,Yes,NA,10,10,3855.422,406.627,1285.866,NA,4698.795,572.289,1809.737,NA,NA,No,NA,No,Not reported,not reported,No,NA,No,NA,1,2,Ren_2024_ASEAN_Ex-ID,-0.19782562361838404,0.02595764528115804,0.34174910953324766,0.1111111111111111,0.14392348591486373,0.13706875639226915
es180,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,NA,Factorial,NA,Independent,Yes,Placebo: starch,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,15,NA,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Crossings periphery,count,N/A,light phase,2,Table 2,NA,CG_,MG,CG_MG,Yes,NA,6,6,81,NA,29.81,NA,117.33,NA,16.86,NA,NA,No,NA,No,Not reported,not reported,No,NA,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,-0.3705413227630937,0.02601517952778382,-0.5698999551162708,0.2,-0.9404412778793643,0.22601517952778383
