ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var
es057,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out001,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3a,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,No,,10,10,214.925,2.388,7.552,,216.119,6.567,20.767,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.005540051845610942,0.0010468067226451039
es058,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out002,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,,10,10,57.84,4.878,15.426,,50.174,2.787,8.815,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.14218361361086296,0.010199603944069461
es059,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out001,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,,11,11,249.552,4.179,13.861,,212.537,6.567,21.781,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.16055121945465736,0.0012352213988906383
es060,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out002,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 3,Papadakakis_2019_fig_3b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,,11,11,37.631,4.181,13.867,,61.324,2.091,6.934,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.48834310465436953,0.013506996923800923
es061,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out003,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Stretch attend postures,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4a,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less SAP...increased anxiety,10,10,64.161,2.273,7.187,,60.14,2.273,7.187,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,0.0647203719113278,0.002682870274256589
es062,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out004,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Protected stretch attend postures,percentage,%,light phase,2,Figure 4,Papadakakis_2019_fig_4b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,No,...less SAP...increased anxiety,10,10,51.029,1.618,5.115,,50.588,2.353,7.441,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.005558529943901381,0.001297848742947084
es063,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out005,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4c,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less head dips…increased anxiety,10,10,9.427,0.279,0.881,,10.449,0.789,2.497,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.10292836763796055,0.006584060525278316
es064,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out003,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Stretch attend postures,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less SAP...increased anxiety,11,11,54.196,2.273,7.538,,63.811,1.923,6.378,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.1633184842981132,0.002666880901091192
es065,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out004,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Protected stretch attend postures,percentage,%,light phase,2,Figure 4,Papadakakis_2019_fig_4b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,...less SAP...increased anxiety,11,11,61.618,1.912,6.341,,55,1.912,6.341,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.07732607353644547,0.001003178675296685
es066,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out005,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 76,Young adult,PND 84,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,light phase,2,Figure 4,Papadakakis_2019_fig_4c,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less head dips…increased anxiety,11,11,5.666,0.557,1.848,,8.452,0.604,2.002,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.39991969834548535,0.014771248227276788
es067,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out006,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Immobility,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5a,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,No,...more time immobile….increased depressive behaviors,10,10,135.532,4.798,15.171,,124.738,1.799,5.689,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.08299223717936409,0.0014609869424210438
es068,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out007,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...more time immobile….increased depressive behaviors,10,10,165.051,4.699,14.859,,176.211,2.349,7.43,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.06542762356043817,9.882727600273489e-4
es069,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out008,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,93.255,3.519,11.128,,103.226,3.519,11.128,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.10158308291150336,0.002586067939684883
es070,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex001,,out009,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,CGambient.noise_,CGMozart,CGambient.noise_CGMozart,Yes,...less time climbing and swimming…more depressed,10,10,69.851,2.985,9.44,,72.836,2.985,9.44,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.0418459364768354,0.003506189629579621
es071,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out006,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Immobility,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5a,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,No,...more time immobile….increased depressive behaviors,11,11,204.498,5.997,19.89,,148.126,4.198,13.923,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.3224949325624723,0.0016631759427434556
es072,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out007,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Total activity,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5b,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...more time immobile….increased depressive behaviors,11,11,94.567,5.874,19.481,,152.129,4.112,13.637,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.4754202671373101,0.004588397872030755
es073,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out008,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Climbing,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5c,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,60.411,2.346,7.781,,89.736,1.76,5.836,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.3957008187785443,0.0018926626006056822
es074,Music exposure attenuates anxiety- and depression-like behaviors and increases hippocampal spine density in male rats,10.1016/j.bbr.2019.112023,Behavioural Brain Research,Papadakakis_2019_BBR,2019,ex002,,out009,,Rattus norvegicus,Rat,Sprague Dawley,Male,Mixed,PND 21 to 77,Young adult,PDN 88,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Mixed,neonatal+infantile,12,,None,,Before,,Single trial,,12,,55,,Medium,light phase,classical,Western classical: Mozartt K.449,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,65,,Not applicable,2,Depression,Forced Swim Test (FST),pre-test 24h before,Swimming,time,s,light phase,2,Figure 5,Papadakakis_2019_fig_5d,MSambient.noise_,MSMozart,MSambient.noise_MSMozart,Yes,...less time climbing and swimming…more depressed,11,11,34.627,4.179,13.861,,61.493,4.179,13.861,,,No,,No,Yes,not reported,No,,No,,2,7,Papadakakis_2019_BBR_Ex-ID,-0.5742896226239335,0.01918585489094008
es075,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out001,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22006,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,control_,music,control_music,Yes,,6,6,2.383,0.606,1.486,,2.48,0.726,1.777,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.03989836206028575,0.15037918836747965
es076,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out002,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22007,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,control_,music,control_music,Yes,,6,6,21252.336,1626.168,3983.282,,21364.486,1401.869,3433.864,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.005263192027344925,0.010160437263405502
es077,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out001,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22008,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,light phase,2,Figure 1,Fu_2023_fig_1B,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,1.202,0.314,0.993,,3.249,0.303,1.135,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.9943604205739475,0.0769648864564754
es078,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out002,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22009,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,light phase,2,Figure 1,Fu_2023_fig_1B_2,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,15196.262,672.897,2127.888,,18056.075,336.449,1258.875,,,No,,Yes,Not reported,not reported,No,,Yes,Missing: number of times the mice crossed the center,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.17243271669445703,0.00230796656123833
es079,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out003,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22010,1,ambiet sound,Not reported,,Not applicable,0,both,Novelty Suppressed Feeding (NSF),,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,control_,music,control_music,No,,6,6,44.706,14.118,34.581,,35.966,8.739,21.407,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.21753367305664037,0.15876632722058723
es080,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out003,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22011,1,ambiet sound,Not reported,,Not applicable,0,both,Novelty Suppressed Feeding (NSF),,Latency,time,s,light phase,2,Figure 1,Fu_2023_fig_1C,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,10,14,98.824,9.076,28.7,,48.067,4.706,17.608,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.7207446192630592,0.01801923328687166
es081,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out004,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22012,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,control_,music,control_music,Yes,,6,6,68.278,10.545,25.829,,79.086,7.645,18.726,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.14694826161520946,0.0331949120549594
es082,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out004,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22013,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,light phase,2,Figure 1,Fu_2023_fig_1D,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,10,14,26.626,2.636,8.336,,77.241,3.954,14.796,,,No,,Yes,Not reported,not reported,No,,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,-1.0650422221265428,0.012422735340343855
es083,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out005,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22014,1,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,control_,music,control_music,No,,6,6,136.774,13.548,33.187,,110.323,18.065,44.249,,,No,,Yes,Not reported,not reported,No,,Yes,"Missing: The number of entries into closed arms and the
time spent in each arm",1,4,Fu_2023_TRANSPSY_Ex-ID,-0.21491750191164558,0.03662410439909748
es084,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex002,,out005,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,Yes,Maternal separation,Induced,Maternal Separation,,Young adult,,28,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22015,1,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,light phase,2,Figure 1,Fu_2023_fig_1E,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,10,14,209.032,14.839,46.924,,94.194,13.548,50.693,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,-0.7971308650062754,0.025727374900535865
es085,Music prevents stress-induced depression and anxiety-like behavior in mice,10.1038/s41398-023-02606-z,Translational Psychiatry,Fu_2023_TRANSPSY,2023,ex001,,out006,,Mus musculus,Mouse,C57BL/6,Male,Young adult,>8weeks,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,1.5,,28,,Short,dark phase,mixed,"Baroque, classsical (eastern/western), romantic (?)",Mixed,Not reported,86-22016,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,light phase,2,Figure 1,Fu_2023_fig_1F,control_,music,control_music,Yes,,6,6,93.095,1.997,4.891,,91.597,2.246,5.502,,,No,,Yes,Not reported,not reported,No,,Yes,,1,4,Fu_2023_TRANSPSY_Ex-ID,0.021851639212453828,0.0019160258711540163
