model,ri,rho,k,estimate,se,ci.lb,ci.ub,tval,pval,anxiety_est,depression_est
lnVR_contrast_depression_minus_anxiety,0.75,0.25,219,-0.6249239668758962,0.21969838747338583,-1.0579398878822734,-0.1919080458695191,-2.844463148149411,0.004874143863331388,0.3070314054465226,-0.31789256142937367
lnRR_overall,0.75,0.5,298,-0.23476271684045028,0.06836354211640945,-0.3693010414619071,-0.1002243922189934,-3.4340338369345504,6.792800866924904e-4,NA,NA
lnVR_overall,0.75,0.5,222,0.12875666686214615,0.12225311668094517,-0.11217442942370778,0.3696877631480001,1.0531974182562058,0.29340065322027015,NA,NA
lnVR_contrast_depression_minus_anxiety,0.75,0.5,219,-0.6215382400593649,0.2199791252163,-1.0551074828889346,-0.18796899722979515,-2.825441911582391,0.005161992326762663,0.30222700723313134,-0.3193112328262335
lnRR_overall,0.75,0.75,298,-0.22979110317810444,0.06824212570408361,-0.36409048230039376,-0.0954917240558151,-3.3672911095199622,8.591412120664156e-4,NA,NA
lnVR_overall,0.75,0.75,222,0.12246897803539442,0.11951117842727582,-0.11305842624374571,0.35799638231453457,1.0247491460384055,0.30660191876978815,NA,NA
lnVR_contrast_depression_minus_anxiety,0.75,0.75,219,-0.617973932977816,0.22018428919766025,-1.051947545049089,-0.184000320906543,-2.8066213771640105,0.005461944945352711,0.29723960832281143,-0.32073432465500457
lnRR_overall,0.75,0.9,298,-0.22759406622606457,0.0683672737250809,-0.36213973459191,-0.09304839786021912,-3.328991399324593,9.814795825572066e-4,NA,NA
lnVR_overall,0.75,0.9,222,0.11847046105640809,0.11777443881311517,-0.11363425273791745,0.35057517485073364,1.005909790361195,0.3155590560955861,NA,NA
lnVR_contrast_depression_minus_anxiety,0.75,0.9,219,-0.6157541905612068,0.22027324662392103,-1.049903133832247,-0.18160524729016647,-2.79541070011331,0.005648059047743011,0.2941395403064083,-0.3216146502547985
lnRR_overall,0.9,0,298,-0.2497874230732319,0.07078585483245714,-0.38909281921317995,-0.11048202693328385,-3.528775963283245,4.836050153677482e-4,NA,NA
lnVR_overall,0.9,0,222,0.14028672353861277,0.1274708149514841,-0.11092718433142784,0.3915006314086534,1.1005399439236851,0.27229421207046,NA,NA
lnVR_contrast_depression_minus_anxiety,0.9,0,219,-0.6230432817132262,0.2186606026625335,-1.0540137742080624,-0.19207278921839005,-2.8493623182535104,0.00480241165646116,0.3102388534901353,-0.3128044282230909
lnRR_overall,0.9,0.25,298,-0.2410289214021764,0.0691587147950374,-0.37713213275500235,-0.10492571004935047,-3.485156167469322,5.660135517720603e-4,NA,NA
lnVR_overall,0.9,0.25,222,0.13399445082478453,0.12482005625766777,-0.11199545772786307,0.37998435937743213,1.07350096484637,0.28421714419790955,NA,NA
