ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID...7,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,Ex_ID...65,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnCVR,lnCVR_var,lnCVR_unstd
es166,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out002,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,Not reported,1,Figure 2,Ren_2024_fig_2,WT_,HH,WT_HH,No,,10,10,160.174,18.261,57.746,,107.478,8.348,26.398,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.398974549,0.019030076,0.38379128435396415,0.13014118675907382,-0.38379128435396415
es167,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out002,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Tail Suspension Test (TST),,Immobility,time,s,Not reported,1,Figure 2,Ren_2024_fig_2,WT_,HM,WT_HM,No,,10,10,160.174,18.261,57.746,,78.783,13.565,42.897,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.709563487,0.042645049,-0.4123112972702556,0.15375615963572595,0.4123112972702556
es168,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out003,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Motion,time,s,Not reported,1,Figure 3,Ren_2024_fig_3,WT_,HH,WT_HH,Yes,,10,10,128.593,12.444,39.353,,115.852,17.778,56.218,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,-0.104338864,0.032912726,0.461003643018978,0.1440238375575263,0.461003643018978
es169,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out003,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Motion,time,s,Not reported,1,Figure 3,Ren_2024_fig_3,WT_,HM,WT_HM,Yes,,10,10,128.593,12.444,39.353,,117.63,10.667,33.731,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,-0.089108273,0.017588133,-0.06504664200546914,0.1286992444572876,-0.06504664200546914
es170,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out004,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Nest building,,Performance,index,N/A,Not reported,1,Figure 4,Ren_2024_fig_4,WT_,HH,WT_HH,Yes,,10,10,1.71,0.588,1.858,,1.21,0.482,1.524,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,-0.345873011,0.276694093,0.14771082777872666,0.3878052037309825,0.14771082777872666
es171,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out004,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Depression,Nest building,,Performance,index,N/A,Not reported,1,Figure 4,Ren_2024_fig_4,WT_,HM,WT_HM,Yes,,10,10,1.71,0.588,1.858,,2.098,0.364,1.152,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.204491139,0.14820949,-0.6824922175774842,0.25932060115127875,-0.6824922175774842
es172,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,ou00t5,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,1,Figure 5,Ren_2024_fig_5a,WT_,HH,WT_HH,Yes,,10,10,2.741,1.566,4.952,,11.354,3.393,10.73,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,1.421247287,0.415705101,-0.6479952661675735,0.5268162122793218,-0.6479952661675735
es173,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out005,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,1,Figure 5,Ren_2024_fig_5a,WT_,HM,WT_HM,Yes,,10,10,2.741,1.566,4.952,,29.755,7.178,22.698,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,2.384674368,0.384585704,-0.8621890882795143,0.4956968152262379,-0.8621890882795143
es174,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out006,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Distance open arm,distance,mm,Not reported,1,Figure 5,Ren_2024_fig_5b,WT_,HH,WT_HH,Yes,,10,10,18.237,0,0.05,,194.529,69.909,221.071,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,2.367128755,0.12915088,6.027087435678351,0.24026199140242388,6.027087435678351
es175,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out006,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Distance open arm,distance,mm,Not reported,1,Figure 5,Ren_2024_fig_5b,WT_,HM,WT_HM,Yes,,10,10,18.237,0,0.05,,489.362,151.976,480.589,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,3.289650004,0.096447406,5.881094704075828,0.20755851727009697,5.881094704075828
es176,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out007,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,Not reported,1,Figure 6,Ren_2024_fig_6a,WT_,HH,WT_HH,Yes,,10,10,34.112,4.05,12.807,,39.875,4.829,15.27,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.156100333,0.028760317,0.01979789022497716,0.13987142819613876,0.01979789022497716
es177,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out007,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Time in center,time,s,Not reported,1,Figure 6,Ren_2024_fig_6a,WT_,HM,WT_HM,Yes,,10,10,34.112,4.05,12.807,,49.688,7.165,22.658,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.376114227,0.034889598,0.1944068672937397,0.1460007092900761,0.1944068672937397
es178,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex001,,out008,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,hip hop,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,Not reported,1,Figure 6,Ren_2024_fig_6b,WT_,HH,WT_HH,Yes,,10,10,3855.422,406.627,1285.866,,3900.602,451.807,1428.74,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.011650431,0.024540277,0.09371008470715839,0.1356513882862894,0.09371008470715839
es179,"Heavy metal Music, Hip-hop Music and Construction Noise Induces Depressive Symptoms in mice",N/A,ASEAN Journal of Psychiatry,Ren_2024_ASEAN,2024,ex002,,out008,,Mus musculus,Mouse,C57BL/6,Male,Adolescent,8 weeks,Young adult,,Posttest-Only Control Group,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,6,,7,,Acute,light phase,heavy metal,,Popular Contemporary Music,Not reported,Not reported,0,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,mm,Not reported,1,Figure 6,Ren_2024_fig_6b,WT_,HM,WT_HM,Yes,,10,10,3855.422,406.627,1285.866,,4698.795,572.289,1809.737,,,No,,No,Not reported,not reported,No,,No,,1,2,Ren_2024_ASEAN_Ex-ID,0.197825624,0.025957645,0.14392348591486373,0.13706875639226915,0.14392348591486373
es180,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Crossings periphery,count,N/A,light phase,2,Table 2,,CG_,MG,CG_MG,Yes,,6,6,81,,29.81,,117.33,,16.86,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.370541323,0.02601518,-0.9404412778793643,0.22601517952778383,-0.9404412778793643
es181,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out001,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Crossings periphery,count,N/A,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,Yes,,6,6,91,,32.7,,119.16,,16.37,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.269607621,0.024666418,-0.9615323078483956,0.2246664184753517,-0.9615323078483956
es182,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Peripheral ambulation,time,s,light phase,2,Table 2,,CG_,MG,CG_MG,No,,6,6,170.16,,28.54,,182.5,,19.8,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,-0.070011002,0.006650378,0.4356356764787651,0.20665037830535488,-0.4356356764787651
es183,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out002,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Peripheral ambulation,time,s,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,No,,6,6,185.33,,17.52,,205,,33.32,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,-0.100871959,0.005892472,-0.5419427724612075,0.20589247213272197,0.5419427724612075
es184,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Center crossings,count,N/A,light phase,2,Table 2,,CG_,MG,CG_MG,Yes,,6,6,3.33,,2.25,,5.5,,2.25,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.501775788,0.103982165,-0.5017757882460727,0.30398216510010123,-0.5017757882460727
es185,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out003,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Center crossings,count,N/A,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,Yes,,6,6,2.16,,1.47,,5.16,,2.85,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.870828358,0.128036569,-0.20877176430748337,0.3280365686768735,-0.20877176430748337
es186,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Center ambulation,time,s,light phase,2,Table 2,,CG_,MG,CG_MG,Yes,,6,6,3,,2.68,,10.33,,5.39,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,1.236439994,0.178383348,-0.5377114040652973,0.37838334762107906,-0.5377114040652973
es187,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out004,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Center ambulation,time,s,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,Yes,,6,6,2.83,,1.72,,12.83,,7.88,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,1.511509467,0.124435481,0.010494146072027394,0.3244354810729826,0.010494146072027394
es192,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out007,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Crossings,count,N/A,light phase,2,Table 2,,CG_,MG,CG_MG,Yes,,6,6,84.33,,29.34,,122.83,,17.5,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.376063612,0.023557701,-0.89281450374982,0.22355770097742028,-0.89281450374982
es193,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out007,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Crossings,count,N/A,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,Yes,,6,6,93.16,,33.6,,124.33,,17.35,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.288620876,0.024926059,-0.9495544365249963,0.2249260589414685,-0.9495544365249963
es194,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out008,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Motion,time,s,light phase,2,Table 2,,CG_,MG,CG_MG,Yes,,6,6,173.16,,28.58,,192.83,,18.14,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.107592949,0.006015171,-0.5621806769724643,0.2060151711697514,-0.5621806769724643
es195,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out008,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Motion,time,s,light phase,2,Table 2,,CPG_,CPMG,CPG_CPMG,Yes,,6,6,188.16,,16.92,,217.83,,27.94,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,0.146422277,0.004089697,0.35514072230073535,0.20408969697479856,0.35514072230073535
es196,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex001,,out009,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Placebo: starch,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Immobility,time,s,light phase,2,Figure 1,Milbratz_2017_fig_1,CG_,MG,CG_MG,No,,6,6,54.751,13.445,32.933,,11.115,5.378,13.173,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,1.594500086,0.294400183,-0.6781941716245226,0.49440018287882065,0.6781941716245226
es197,Cocoa and classical music: effect on anxiety and antioxidant activity in Wistar rats,N/A,Archivos Latinoamericanos de Nutrición,Milbratz_2017_ALN,2017,ex002,,out009,,Rattus norvegicus,Rat,Wistar,Male,Mixed,young adult to adult; 3 to 5 months  + 15 days for some,Mixed,,Factorial,,Independent,Yes,Cocoa powder,Innate,,,,,,,None,,Before,,Single trial,,5,,15,,Short,light phase,classical,Mozart,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,,Not applicable,2,Anxiety,Open Field Test,,Immobility,time,s,light phase,2,Figure 1,Milbratz_2017_fig_1,CPG_,CPMG,CPG_CPMG,No,,6,6,36.432,14.957,36.638,,8.233,2.605,6.381,,,No,,No,Not reported,not reported,No,,Yes,"Missing rearing, grooming time; missing all EPM",0,6,Milbratz_2017_ALN_Ex-ID,1.487297041,0.268674288,0.2604640872719626,0.46867428791548643,-0.2604640872719626
es198,Exposure to Patterned Auditory Stimuli during Acute Stress Prevents Despair-Like Behavior in Adult Mice That Were Previously Housed in an Enriched Environment in Combination with Auditory Stimuli,10.1155/2018/8205245,Neural Plasticity,Flores_2018_NP,2018,ex001,,out001,,Mus musculus,Mouse,BALB/c,Male,Adult,8-10 months,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Concurrent,,Single trial,,0.82,"daily average, incremental rate of exposure from 9 min at day one to 90 min at day 35",35,,Medium,dark phase,classical,Mozart,Western Art Music / Orchestral,60-80,19485,2,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,dark phase,2,Figure 3,Flores_2018_fig_3a,NH-NoPAS/FST-NoPAS_,NH-NoPAS/FST+PAS,NH-NoPAS/FST-NoPAS_NH-NoPAS/FST+PAS,No,,8,8,117.333,11.333,32.056,,137.333,22.333,63.168,,,No,,Yes,Yes,not reported,No,,No,,3,7,Flores_2018_NP_Ex-ID,-0.157392587,0.035775806,-0.520920883000029,0.178632948872323,0.520920883000029
es199,Exposure to Patterned Auditory Stimuli during Acute Stress Prevents Despair-Like Behavior in Adult Mice That Were Previously Housed in an Enriched Environment in Combination with Auditory Stimuli,10.1155/2018/8205245,Neural Plasticity,Flores_2018_NP,2018,ex002,,out001,,Mus musculus,Mouse,BALB/c,Male,Adult,8-10 months,Adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,0.82,"daily average, incremental rate of exposure from 9 min at day one to 90 min at day 35",35,,Medium,dark phase,classical,Mozart,Western Art Music / Orchestral,60-80,19485,2,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,dark phase,2,Figure 3,Flores_2018_fig_3a,NH-NoPAS/FST-NoPAS_,NH+PAS/FST-NoPAS,NH-NoPAS/FST-NoPAS_NH+PAS/FST-NoPAS,No,,8,8,117.333,11.333,32.056,,97.667,13.333,37.712,,,No,,Yes,Yes,not reported,No,,No,,3,7,Flores_2018_NP_Ex-ID,0.183452313,0.027967034,-0.34594628556437634,0.17082417657278012,0.34594628556437634
